"id","code","name","city","country","additional_info"
1,AF,Herat International Airport (HEA),Herat,Afghanistan,"Porter' services - 45,00 EUR (up to 4 bags) Business lounge (departure only) - 65,00 EUR p/p Infants < 2yo - free-of-charge
Children (2-11yo): 90,00 EUR - arrival or departure; 120,00 EUR - transit
+25% < 3 business days
+25% -  Local holidays, night time (22:00 - 06:00)"
2,AF,Hamid Karzai International Airport (KBL),Kabul,Afghanistan,"Porter' services - 50,00 EUR (up to 4 bags)
Business lounge (departure only) - 70,00 EUR p/p Infants < 2yo - free-of-charge
Children (2-11yo): 100,00 EUR - arrival or departure; 130,00 EUR - transit
+25% < 3 business days
+25% - Local holidays, night time (22:00 - 06:00)"
3,AF,Kandahar International Airport (KDH),Kandahar,Afghanistan,"Porter' services - 45,00 EUR (up to 4 bags) Business lounge (departure only) - 65,00 EUR p/p Infants < 2yo - free-of-charge
Children (2-11yo): 90,00 EUR - arrival or departure; 120,00 EUR - transit
+25% < 3 business days
+25% - Local holidays, night time (22:00 - 06:00)"
4,AF,Mawlana Jalal ad- Din Muhammad Balkhi International Airport (MZR),Mazar-e Sharif,Afghanistan,"Porter' services - 45,00 EUR (up to 4 bags) Business lounge (departure only) - 65,00 EUR p/p Infants < 2yo - free-of-charge
Children (2-11yo): 90,00 EUR - arrival or departure; 120,00 EUR - transit
+25% < 3 business days
+25% - Local holidays, night time (22:00 - 06:00)"
5,AL,International Airport Nёnё Tereza (TIA),Tirana,Albania,"Porter services - 200,00 (p/service) VIP/Business lounge – 150,00 p/hour, p/service Infants 0-1,99 – free-of-charge
Children – no discount
Last minute booking (< 3 days) + 25%"
6,DZ,Algiers Houari Boumediene Airport (ALG),Algiers,Algeria,"Business lounge for ECO pax (departure) - 140,00 p/P Porter services – N/A
VoA (by request) - 165,00 p/P Children: 0-2yo - free; 2-12yo - 225,00 Last minute request (<3 days) + 25%
Cancellation or amendments: till 3 days 50%, less 3
days 100%"
7,AD,Andorra-La Seu d’Urgell Airport (LEU),Andorra la Vella,"Andorra, Principality of Andorra","20% discount for goups/families from 3 pax. Porter service + 110,00 (up to 4 bags) VIP/Business Lounge at departure +85,00 p/Pax Children till 11yo - 190,00
Last minute requests (less 2 days) + 25%
Night Services (22:00-07:00), Weekends & holidays +
25%"
8,AO,Aeroporto de Benguela - 17 de Setembro (Gen. V. Deslandes) (BUG),Benguela,Angola,"Private transfer to/from aircraft - 145,00 (up to 4 pax)
Business lounge for ECO pax (departure) - 60,00 p/P Porter services - 25,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 95,00 Last minute request (<3 days) + 25%
15% - Sundays & Holidays surcharge"
9,AO,Aeroporto de Cabinda (CAB),Cabinda,Angola,"Private transfer to/from aircraft - 145,00 (up to 4 pax) Business lounge for ECO pax (departure) - 60,00 p/P Porter services - 25,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 95,00 Last minute request (<3 days) + 25%
15% - Sundays & Holidays surcharge"
10,AO,Quatro de Fevereiro Internationa  Airport - Aeroporto 4 de Fevereiro (Belas) (LAD),Luanda,Angola,"Private transfer to/from aircraft - 145,00 (up to 4 pax) Business lounge for ECO pax (departure) - 60,00 p/P Porter services - 25,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 95,00 Last minute request (<3 days) + 25%
15% - Sundays & Holidays surcharge"
11,AO,Sa da Bandeira - Lubango Mukanka Airport (SDD),Lubango,Angola,"Private transfer to/from aircraft - 145,00 (up to 4 pax) Business lounge for ECO pax (departure) - 60,00 p/P Porter services - 25,00 (up to 4 bags)
Children: 0-2yo - free; 2-12yo - 95,00 Last minute request (<3 days) + 25%
15% - Sundays & Holidays surcharge"
12,AG,V.C. Bird International Airport (ANU),Saint John’s,Antigua & Barbuda,"Porter service (outside custom) – 45,00 (up to 4 bags) VIP Lounge incl.
Private tarmac transfer – 125,00 (by request only) Children: 0-2yo - free; 2-12yo - 190,00
Last minute requests (<3 days) + 30%
Dec. 25th & Jan 1st + 50%"
