"id","service_type","price_one_passenger","price_others_passengers","airport_id","service_id"
1,arrival,"340.00","150.00",1,55
2,departure,"340.00","150.00",1,55
3,transit,-,-,1,55
4,arrival,"360.00","160.00",2,55
5,departure,"360.00","160.00",2,55
6,transit,"595.00","220.00",2,55
7,arrival,"340.00","150.00",3,55
8,departure,"340.00","150.00",3,55
9,transit,-,-,3,55
10,arrival,"340.00","150.00",4,55
11,departure,"340.00","150.00",4,55
12,transit,-,-,4,55
13,arrival,"320.00","290.00",5,55
14,departure,"320.00","290.00",5,55
15,transit,-,-,5,55
16,arrival,"405.00","375.00",6,55
17,departure,"405.00","375.00",6,55
18,transit,By request,By request,6,55
19,arrival,"390.00","290.00",7,55
20,departure,"390.00","290.00",7,55
21,transit,"490.00","350.00",7,55
22,arrival,"275.00","215.00",8,55
23,departure,"275.00","215.00",8,55
24,transit,By request,By request,8,55
25,arrival,"275.00","215.00",9,55
26,departure,"275.00","215.00",9,55
27,transit,By request,By request,9,55
28,arrival,"275.00","215.00",10,55
29,departure,"275.00","215.00",10,55
30,transit,By request,By request,10,55
31,arrival,"275.00","245.00",11,55
32,departure,"275.00","245.00",11,55
33,transit,By request,By request,11,55
34,arrival,"480.00","240.00",12,55
35,departure,"480.00","240.00",12,55
36,transit,"580.00","340.00",12,55
37,arrival,"325.00","305.00",13,18
38,departure,"325.00","305.00",13,18
39,transit,By request,By request,13,18
40,arrival,"425.00","395.00",14,18
41,departure,"425.00","395.00",14,18
42,transit,N/A,N/A,14,18
43,arrival,"640.00","285.00",15,62
44,departure,"640.00","285.00",15,62
45,transit,"720.00","325.00",15,62
46,arrival,"320.00","290.00",16,55
47,departure,"320.00","290.00",16,55
48,transit,"390.00","350.00",16,55
49,arrival,"620.00","255.00",17,55
50,departure,"620.00","255.00",17,55
51,transit,"790.00","335.00",17,55
52,arrival,"600.00","200.00",18,55
53,departure,"600.00","200.00",18,55
54,transit,"760.00","280.00",18,55
55,arrival,"580.00","225.00",19,55
56,departure,"580.00","225.00",19,55
57,transit,"750.00","275.00",19,55
58,arrival,"620.00","225.00",20,55
59,departure,"620.00","225.00",20,55
